,Predicted Bin,Actual Bin,Change
0,0.0,0.0,0.062465526751241056
1,0.0,0.0,0.015463917525773084
2,0.0,0.0,-0.08556547619047622
3,0.0,0.0,0.03971326164874546
4,1.0,0.0,-0.035532994923857884
5,0.0,0.0,-0.050275137568784344
6,0.0,0.0,-0.04485049833887043
7,0.0,0.0,-0.08602846054333764
8,0.0,0.0,0.05302045159002245
9,0.0,0.0,0.01685232790631258
10,0.0,0.0,0.018612936912586777
11,0.0,0.0,-0.04229741763134458
12,0.0,0.0,-0.047329405056073026
13,0.0,1.0,0.1731220657276996
14,0.0,0.0,0.047624396270919855
15,0.0,0.0,-0.029934715244140885
16,0.0,0.0,-0.15841418534626964
17,0.0,0.0,-0.06365729156240617
18,0.0,0.0,-0.06992363602907346
19,0.0,0.0,0.012905748924520968
20,0.0,0.0,0.028282411230388205
21,0.0,0.0,0.021426583804841873
22,1.0,1.0,0.17945578231292514
23,0.0,0.0,-0.12477788746298125
24,0.0,0.0,0.0
25,0.0,0.0,-0.020211742059672747
26,0.0,0.0,0.09108716944172389
27,0.0,0.0,-0.019810152703260392
28,0.0,0.0,-0.04540476792182631
29,0.0,0.0,-0.045936770634415425
30,0.0,0.0,-0.12494939954122258
31,0.0,0.0,0.018691876578185603
32,0.0,0.0,0.006375518010838358
33,0.0,0.0,-0.06302729528535979
34,0.0,0.0,0.06359233522846906
35,0.0,0.0,0.07925033467202144
36,0.0,0.0,0.08566488525620868
37,0.0,0.0,-0.20215838273293818
38,0.0,0.0,-0.038514920194309486
39,0.0,1.0,0.10698616267296653
40,0.0,0.0,0.08100275322417025
41,0.0,0.0,-0.024827383575730836
42,0.0,0.0,-0.08712613784135237
43,0.0,0.0,-0.07207488299531978
44,0.0,0.0,-0.1476274165202109
45,0.0,0.0,-0.06940928270042193
46,0.0,0.0,0.08336733306133545
47,0.0,0.0,0.07773279352226728
48,0.0,0.0,0.07096045197740114
49,0.0,1.0,0.15200154708953778
50,0.0,1.0,0.15092853589786093
51,0.0,0.0,-0.2113064460530852
52,0.0,0.0,0.049308096071258176
53,0.0,0.0,-0.04265682656826569
54,0.0,0.0,0.060990539788536496
55,0.0,0.0,-0.1402842360337939
56,0.0,0.0,-0.03032300593276197
57,0.0,0.0,-0.02650602409638555
58,0.0,0.0,-0.173951048951049
59,0.0,0.0,-0.0475218658892127
60,0.0,0.0,-0.0052142947984229505
61,0.0,0.0,-0.10384387936132468
62,0.0,0.0,0.08894503005488277
63,0.0,0.0,-0.04440734557595988
64,0.0,0.0,-0.06606474344857961
65,0.0,0.0,0.019160211985324044
66,0.0,0.0,0.040417209908735395
67,0.0,1.0,0.10238361862102062
68,0.0,0.0,0.05045689312673802
69,0.0,0.0,-0.0782066276803119
70,0.0,0.0,-0.020723167071602155
71,0.0,0.0,-0.10094715852442665
72,0.0,1.0,0.10494496977212828
73,0.0,0.0,-0.0832958126969834
74,0.0,0.0,0.05891526598509788
75,0.0,0.0,0.03250641573994865
76,0.0,0.0,-0.1798878205128206
77,0.0,0.0,-0.043121926617072266
78,0.0,0.0,0.029632232372921074
79,0.0,0.0,0.030319735391400194
80,0.0,0.0,-0.17604856512141287
81,0.0,0.0,-0.28787234042553195
82,0.0,0.0,-0.11325568496949537
83,0.0,0.0,0.024645110410094637
84,0.0,0.0,0.097305646130084
85,0.0,1.0,0.12663272083241087
86,0.0,0.0,-0.005536514632217265
87,0.0,0.0,0.02690334211621131
88,0.0,0.0,-0.000273373428102734
89,0.0,1.0,0.12138613861386144
90,0.0,0.0,0.03209809755657743
91,0.0,0.0,0.003577817531305954
92,0.0,0.0,0.0361613351877607
93,0.0,0.0,-0.021827143108607675
94,0.0,0.0,0.009215340832090968
95,0.0,1.0,0.10374858008330172
96,0.0,0.0,-0.07389502762430941
97,0.0,0.0,-0.05319311080627956
98,0.0,0.0,-0.1494965143299768
99,0.0,0.0,-0.14228137594901108
100,0.0,0.0,0.022585782539452766
101,0.0,0.0,-0.23348519362186784
102,0.0,0.0,-0.17503605611642842
103,0.0,0.0,-0.03783308195072907
104,1.0,1.0,0.1722515492311224
105,0.0,0.0,-0.0356531660011409
106,0.0,0.0,-0.13459268004722555
107,0.0,0.0,-0.08393186948491682
108,0.0,0.0,-0.10693561757391538
109,0.0,1.0,0.19400216416756835
110,0.0,0.0,0.06091704493125465
111,0.0,0.0,-0.0012019230769230512
112,0.0,0.0,0.02936857562408226
113,0.0,0.0,0.05603659532756085
114,0.0,0.0,-0.10204081632653063
115,0.0,0.0,-0.05253940455341514
116,0.0,0.0,-0.1924111567322667
117,0.0,0.0,-0.10571428571428566
118,0.0,0.0,-0.02529846503695283
119,0.0,0.0,-0.06903380959117267
120,0.0,0.0,-0.09648976875727827
121,0.0,1.0,0.13051146384479723
122,0.0,0.0,-0.05963010204081636
123,0.0,0.0,0.09141130772550715
124,0.0,0.0,-0.02121095256459702
125,0.0,1.0,0.24809473560792583
126,0.0,0.0,-0.038985980410985235
127,0.0,0.0,-0.11979881115683588
128,0.0,0.0,-0.14270240996479824
129,1.0,0.0,0.036966067864271424
130,0.0,0.0,0.0250689395838556
131,0.0,0.0,0.004260218767990842
132,0.0,0.0,0.0060650169820475495
133,0.0,0.0,-0.18722943722943716
134,0.0,0.0,0.0041274293728711725
135,0.0,0.0,-0.0875248650184711
136,0.0,0.0,-0.11089883551673943
137,0.0,0.0,0.030583349065508865
138,0.0,1.0,0.12688225129597633
139,0.0,0.0,-0.05061628611840781
140,0.0,0.0,-0.1690322580645161
141,0.0,0.0,-0.01089278086287907
